Statistiche Quick Sort: 
Dim_array,N_test,min_read,avg_read,max_read,n*n,n*log(n)
100,1000,1199,1491.61,2275,10000,664.386
200,1000,2894,3527.23,5010,40000,1528.77
300,1000,4832,5787.7,7839,90000,2468.65
400,1000,6732,8148.31,11583,160000,3457.54
500,1000,8996,10602.3,14277,250000,4482.89
600,1000,11240,13159.9,17538,360000,5537.29
700,1000,13470,15807.9,22294,490000,6615.85
800,1000,15727,18483.5,23030,640000,7715.08
900,1000,18297,21206.5,27714,810000,8832.4
1000,1000,20421,23961.4,32053,1e+06,9965.78


Statistiche Heap Sort: 
Dim_array,N_test,min_read,avg_read,max_read,n*n,n*log(n)
100,1000,2738,2862.95,3020,10000,664.386
200,1000,6546,6719.08,6987,40000,1528.77
300,1000,10666,10955.6,11211,90000,2468.65
400,1000,15185,15455.9,15780,160000,3457.54
500,1000,19773,20109.9,20519,250000,4482.89
600,1000,24489,24922.6,25312,360000,5537.29
700,1000,29463,29875.9,30408,490000,6615.85
800,1000,34506,34924.5,35484,640000,7715.08
900,1000,39487,40042.9,40675,810000,8832.4
1000,1000,44745,45256.1,45710,1e+06,9965.78


